id,title,company_name,company_location,url,salary,salary_min,salary_max,avg_salary
0,Sr. Databricks Developer,Labcorp,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=36d0a5fc70b96d66&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
1,Technical Writer,ZPE Systems,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=61fadd7c6017cdc7&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
2,Computer Science - online tutor/expert,Chegg India,Remote in India,https://in.indeed.com/viewjob?&t=Python+Developer&jk=e0cbf6ec8c839ce0&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
3,Automation Testing Engineer,BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=82b6cf07e9c2da8c&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
4,Quality Assurance Engineer (Python Automation),NetApp,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=20426964836865d8&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
5,Associate Multi-Skill Software Developer - .Net & Cloud,BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=9cce6b2f8b23ffb4&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
6,Versatile Team - Experienced Multi-Skill Software Developer (Java & Cloud),BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=45b820ab3c811d83&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
7,Senior Software Engineer - Display,ARM,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=9c261241c0e4dedf&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
8,Python Developer Intern,Igsrs,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=93169148359a7702&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,7000 - 9000 ,7000 , 9000 ,8000.0
9,Freelance Software Developer,seikor,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=830db7299c0159d1&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,53000 - 90000 ,53000 , 90000 ,71500.0
10,Python Senior Developer,Infosys,"Indore, Madhya Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=c54d3f882074facf&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
11,Full Stack Developer-Trainee,Wipro,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=83010b55d2d600fc&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,22000 - 53500 ,22000 , 53500 ,37750.0
12,Python Developer,Infiniticube Services Pvt Ltd,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=84c0c493e417c331&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,15000 - 30000 ,15000 , 30000 ,22500.0
13,Engineering Manager,Capital One,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=e3bd88d05cea4c1d&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
